TIME;0;1090;2134;3178;4226;5269;5569;6319
MEMORY;START;22;38;41;43;33;24;END
TIME;0;1135;2178;3220;4271;5315;5456;6363
MEMORY;START;22;38;45;41;31;24;END
TIME;0;1149;2206;3248;4290;5337;5479;6385
MEMORY;START;27;61;46;41;47;24;END
TIME;0;1085;2125;3166;4217;5197;5263
MEMORY;START;29;38;40;41;24;END
TIME;0;1083;2141;3183;4235;5281;5409;6330
MEMORY;START;29;68;39;43;31;24;END
TIME;0;1085;2134;3178;4224;5268;5325;6316
MEMORY;START;22;38;41;47;30;24;END
TIME;1;1087;2151;3195;4242;5286;5431;6335
MEMORY;START;29;63;59;41;32;24;END
TIME;1;1085;2131;3179;4220;5262;5535;6309
MEMORY;START;22;38;40;43;32;24;END
TIME;0;1087;2134;3174;4217;5260;5551;6310
MEMORY;START;29;50;39;42;35;24;END
TIME;0;1088;2149;3191;4240;5283;5710;6332
MEMORY;START;29;68;41;42;42;24;END
