TIME;0;1122;2161;3197;4129;4235
MEMORY;START;277;279;794;23;END
TIME;0;1077;2118;3158;4022;4194
MEMORY;START;29;279;791;23;END
TIME;0;1128;2165;3245;4063;4283
MEMORY;START;284;279;791;23;END
TIME;0;1085;2123;3168;4209;4371;5247
MEMORY;START;28;280;791;544;23;END
TIME;0;1083;2119;3154;4193;4233;5232
MEMORY;START;28;280;791;544;23;END
TIME;0;1086;2129;3194;4090;4231
MEMORY;START;21;280;795;23;END
TIME;0;1107;2150;3183;4220;4353;5266
MEMORY;START;28;280;791;544;23;END
TIME;0;1143;2183;3215;4176;4256
MEMORY;START;277;280;791;23;END
TIME;0;1144;2184;3278;4138;4317
MEMORY;START;277;279;791;23;END
TIME;0;1084;2121;3155;4187;4359;5226
MEMORY;START;28;280;791;544;23;END
