TIME;0;1141;2202;3240;4277;5462;6500;7545;8718;9759;10797;11835;12874;13912;14097;14954
MEMORY;START;475;983;988;983;1623;983;1239;1628;983;983;1431;983;1239;23;END
TIME;0;1101;2138;3179;4216;5254;6292;7332;8469;9504;10605;11645;12685;13721;13940;14763
MEMORY;START;468;727;983;727;1623;983;1239;1623;983;1239;1431;983;1239;23;END
TIME;0;1182;2241;3279;4317;5358;6394;7430;8587;9623;10662;11702;12773;13812;14080;14851
MEMORY;START;475;984;987;983;1431;983;1239;1628;983;983;1239;1239;983;23;END
TIME;0;1139;2249;3327;4450;5612;6648;7686;8722;9766;10820;11913;12950;13991;14099;15032
MEMORY;START;475;983;1239;983;1623;1239;983;983;983;988;1628;983;1239;23;END
TIME;1;1087;2126;3163;4204;5241;6300;7336;8374;9477;10531;11568;12601;13343;13642
MEMORY;START;475;991;1239;983;1623;1239;983;983;1431;1244;983;1239;23;END
TIME;0;1166;2260;3297;4335;5379;6417;7456;8612;9656;10695;11732;12787;13825;14170;14866
MEMORY;START;475;983;984;983;1431;983;983;1628;983;983;1239;1239;983;23;END
TIME;0;1135;2258;3294;4331;5486;6521;7578;8659;9703;10739;11782;12826;13862;14023;14904
MEMORY;START;475;983;984;983;1628;983;1239;1628;983;1239;1431;983;1239;23;END
TIME;0;1086;2127;3168;4210;5386;6438;7472;8508;9552;10589;11629;12663;13721;13841;14761
MEMORY;START;470;983;984;983;1628;988;983;1628;983;1239;1431;983;1244;23;END
TIME;0;1069;2110;3183;4283;5414;6458;7497;8534;9584;10676;11731;12805;13841;14013;14882
MEMORY;START;470;984;1239;983;1623;983;983;983;988;1244;1436;1244;1239;23;END
TIME;0;1098;2137;3175;4211;5419;6455;7491;8527;9571;10675;11752;12790;13856;13935;14895
MEMORY;START;469;983;984;983;1623;983;983;983;983;983;1628;983;1239;23;END
