TIME;0;1579;2617;3753;4802;5835;6877;7914;8953;10053;11090;12531;13573;14611;15646;16682;17720;18758;19795;20831;21911;22950;24064;25101;26143;27180;28296;29333;30474;31509;32548;33583;34625;35845;37017;38055;39185;40347;41382;42420;43457;44521;45562;46634;46782;47675
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;3191;5751;6359;6967;4471;4471;5751;4471;4471;4471;5751;6359;6972;4471;5751;5751;4471;4471;5756;6967;4476;5751;4471;4471;4471;6364;4476;4471;4471;5751;4471;4471;6359;4476;4471;5751;23;END
TIME;0;1489;2526;3561;4610;5643;6677;7721;8922;10069;11646;12751;13798;14834;15875;16920;17958;18994;20431;21576;22694;23860;24902;25985;27067;28102;29224;30394;31453;32492;33587;34661;35697;36737;37838;38882;39943;40975;42086;43126;44165;45315;46177;46357
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4476;5751;6972;4471;4471;5751;4471;4471;3191;5751;6972;4476;5756;5751;4471;4471;5756;6967;4471;5751;5751;4471;4471;5756;6967;4471;5751;4471;5756;4471;5751;6359;4471;5751;23;END
TIME;0;1506;2542;3578;4621;5657;6693;7733;8768;9805;10849;12130;13650;14689;15723;16757;17794;18837;19881;21014;22486;23531;24653;25690;26730;27769;28805;30513;31551;32618;33655;34701;35745;36788;37824;38862;39912;40949;41992;43031;44230;45265;46305;47343;47614;48382
MEMORY;START;1915;3191;4471;4472;4471;4473;5751;4471;4471;4471;6359;6967;4471;5751;5751;5751;4471;4471;6364;6967;4471;5756;5751;4471;4471;5751;6967;4471;5751;5751;4471;4471;6364;6967;4471;5751;5751;4471;4471;6364;6969;4471;5751;23;END
TIME;0;1452;2488;3999;5039;6076;7353;8386;9427;11059;12666;13707;14746;15777;16855;17890;18934;19971;21225;22261;23351;24405;25439;26635;27681;28719;29906;30945;32064;33098;34266;35562;36677;37804;38986;40037;41077;42273;43426;44468;45512;45651;46552
MEMORY;START;1915;3191;4472;4472;4473;5751;4471;4471;6359;6967;4471;4471;5751;5751;4471;4471;6359;6971;4471;4471;5751;4471;5751;6359;4471;5751;4471;5751;4471;5751;6971;4475;5755;5751;4471;4471;6363;4471;4471;5751;23;END
TIME;0;1605;2645;3711;4754;5788;7064;8102;9139;10175;11210;12688;13731;14769;15801;16837;17879;18926;19964;21180;22217;23361;24397;25431;26469;27507;28548;29645;30691;31733;32768;33806;34843;35883;36920;37957;38996;40030;41063;42099;43225;44383;44790;45424
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;3191;5751;6359;6967;4471;5751;5751;5751;4471;4471;6359;6972;4471;4471;5751;4471;4471;6359;4471;5751;4471;4471;4471;5751;6359;4471;5751;4471;5751;4471;5751;6967;4476;5756;23;END
TIME;0;1616;2652;3707;4748;5780;6829;7869;8902;9943;11393;13054;14102;15140;16291;17328;18369;19411;20448;21833;22873;24061;25236;26278;27323;28453;29677;30721;31813;32849;33888;34928;36130;37167;38279;39324;40406;41444;42489;43531;44790;45829;46912;47059;47953
MEMORY;START;1915;3191;4471;4473;4472;5751;4471;4471;4471;6364;6967;4471;4471;5751;5751;4471;4471;5751;6967;4471;5756;5751;4471;4471;5751;6967;4471;5751;5751;4471;4471;5756;6967;4476;5756;5751;4471;4471;5756;6972;4471;5756;23;END
TIME;0;1636;2674;3710;4757;5792;6831;7866;8901;9939;11131;12411;13726;14911;15946;16982;18020;19053;20092;21369;22407;23444;24483;25520;26557;27590;28626;29765;30830;32021;33056;34119;35156;36192;37668;38795;39926;40971;42009;43152;44320;45359;46288;46399
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4471;4471;5751;6967;4471;4476;5751;4471;4471;3191;5751;6967;4471;5751;4471;4471;4471;5751;6967;4471;5751;5751;4471;4471;5751;6967;4476;5751;5751;4471;4471;6364;4476;4471;23;END
TIME;0;1487;2533;3570;4612;5651;6687;8093;9124;10164;11210;12783;13916;14964;16001;17038;18081;19119;20153;21320;22363;23401;24442;25480;26517;27671;28714;29752;30790;31834;32887;33924;34961;36259;37296;38329;39372;40414;41451;42489;43529;44573;45729;46637;46769
MEMORY;START;1915;3191;4471;4472;4473;4471;5751;4471;4471;5755;6967;4471;4471;5751;4471;5751;4471;5751;6971;4471;5751;4471;5755;4471;5751;6359;4471;5751;4471;5755;4471;5751;6971;4471;5751;4471;4471;4471;5751;6359;4471;5751;23;END
TIME;0;1588;2627;3728;4771;5805;7227;8263;9305;10349;11389;12791;13830;15109;16141;17178;18216;19258;20476;21961;23002;24106;25142;26180;27220;28324;29360;30398;31536;32572;33614;34654;35774;36811;37931;39115;40280;41336;42483;43518;44654;45727;46789;47170;47829
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;3191;5751;6359;6967;4471;5751;5751;5751;4471;4471;6363;6971;4471;5755;5751;4471;4471;6359;6971;4471;5751;5751;4471;4471;5751;6967;4475;5751;5751;4471;4471;5751;6967;4475;5755;23;END
TIME;0;1540;2579;3690;4731;5765;6801;7839;8876;9914;11326;12885;13924;14966;16002;17126;18169;19206;20379;21859;22897;24048;25083;26124;27163;28329;29399;30540;31584;32625;33659;34700;35832;36879;37919;39078;40114;41152;42200;43308;44417;45459;46520;46662;47560
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4471;4471;6363;6967;4471;4471;5751;5751;4471;4471;6359;6967;4471;5755;5751;4471;4471;6363;4471;5751;4471;5751;4471;4471;6359;6967;4471;5751;5751;4471;4471;6359;4475;4471;5755;23;END
