TIME;0;1091;2140;3194;3743;4241
MEMORY;START;29;29;79;25;END
TIME;0;1079;2129;3175;3873;4220
MEMORY;START;21;30;74;25;END
TIME;0;1092;2142;3191;3623;4238
MEMORY;START;29;29;82;25;END
TIME;0;1084;2128;3183;3834;4228
MEMORY;START;22;30;80;25;END
TIME;0;1094;2139;3188;4152;4236
MEMORY;START;29;29;75;25;END
TIME;0;1086;2128;3176;3816;4222
MEMORY;START;29;29;81;25;END
TIME;0;1087;2131;3190;3796;4240
MEMORY;START;29;30;77;25;END
TIME;0;1140;2193;3248;3923;4299
MEMORY;START;21;30;76;25;END
TIME;0;1081;2130;3183;3761;4229
MEMORY;START;22;30;72;25;END
TIME;0;1078;2127;3177;3737;4225
MEMORY;START;21;30;62;25;END
