TIME;0;1157;2196;3232;4275;4450;5317
MEMORY;START;277;281;791;544;23;END
TIME;0;1121;2162;3194;4228;4242;5267
MEMORY;START;277;280;791;280;23;END
TIME;0;1091;2129;3163;4201;4419;5242
MEMORY;START;20;280;791;544;23;END
TIME;0;1084;2120;3155;4196;4418;5236
MEMORY;START;28;280;791;544;23;END
TIME;0;1085;2127;3160;4198;4396;5238
MEMORY;START;28;280;791;544;23;END
TIME;0;1085;2123;3158;4198;4261;5237
MEMORY;START;28;280;791;544;23;END
TIME;0;1087;2123;3156;4102;4192
MEMORY;START;28;280;791;23;END
TIME;0;1088;2125;3160;4199;4363;5239
MEMORY;START;28;280;791;544;23;END
TIME;1;1088;2127;3160;4197;4460;5238
MEMORY;START;28;281;791;544;23;END
TIME;0;1088;2126;3197;3959;4235
MEMORY;START;28;279;794;23;END
