TIME;0;1068;2159;3198;4236;5274;6313;7352;8393;9495;10542;11606;12704;13751;14335;14792
MEMORY;START;470;983;984;983;1431;983;983;1431;1239;983;987;983;1627;23;END
TIME;0;1117;2217;3258;4290;5329;6371;7404;8439;9476;10520;11558;12594;13635;13985;14674
MEMORY;START;475;983;985;983;1431;983;1239;1623;983;1239;1431;983;983;23;END
TIME;0;1123;2156;3193;4233;5274;6312;7352;8461;9495;10671;11708;12805;13864;14380;14904
MEMORY;START;475;735;984;983;1431;983;983;1239;727;1623;983;983;1623;23;END
TIME;1;1134;2166;3200;4296;5332;6367;7404;8446;9486;10526;11581;12617;13649;13750;14690
MEMORY;START;468;735;984;1239;1623;1239;983;983;983;987;1627;983;727;23;END
TIME;0;1082;2120;3158;4194;5228;6263;7359;8399;9451;10525;11570;12610;13649;13730;14688
MEMORY;START;470;983;984;983;1623;983;1239;983;987;983;1627;983;983;23;END
TIME;0;1119;2155;3196;4228;5401;6441;7477;8553;9686;10728;11766;12811;13855;14499;14894
MEMORY;START;475;983;988;983;1627;983;983;1435;1239;983;983;727;1431;23;END
TIME;0;1110;2143;3178;4210;5250;6295;7337;8425;9462;10499;11560;12600;13640;13944;14680
MEMORY;START;475;735;984;983;1623;983;1239;1628;983;1239;1436;1239;983;23;END
TIME;0;1119;2178;3216;4255;5298;6335;7372;8410;9446;10487;11610;12680;13714;14570;14756
MEMORY;START;475;983;985;983;1431;983;1239;983;1239;1431;1239;983;1239;23;END
TIME;0;1151;2184;3273;4308;5342;6380;7434;8471;9511;10548;11586;12655;13332;13696
MEMORY;START;475;727;1239;983;1623;1239;1239;983;1431;983;983;1436;23;END
TIME;0;1102;2133;3171;4205;5247;6294;7335;8426;9464;10534;11573;12612;13650;13682;14690
MEMORY;START;475;735;985;983;1623;983;983;983;983;983;1623;983;727;23;END
