TIME;0;1087;2130;3128;3173
MEMORY;START;30;43;23;END
TIME;0;1092;2140;2959;3182
MEMORY;START;23;47;23;END
TIME;0;1091;2138;2984;3183
MEMORY;START;30;43;23;END
TIME;0;1096;2142;3187;3217;4232
MEMORY;START;22;45;31;23;END
TIME;0;1080;2134;3052;3175
MEMORY;START;21;45;23;END
TIME;0;1088;2136;3027;3181
MEMORY;START;30;46;23;END
TIME;0;1087;2127;2942;3170
MEMORY;START;22;43;23;END
TIME;0;1087;2133;2942;3178
MEMORY;START;22;43;23;END
TIME;0;1082;2126;3046;3170
MEMORY;START;22;43;23;END
TIME;0;1084;2130;3044;3173
MEMORY;START;30;45;23;END
