TIME;0;1211;2246;3285;4319;5508;6542;7600;8745;9784;10823;12005;13043;14109;14196;15148
MEMORY;START;475;983;984;983;1623;1239;1239;1627;983;1239;1623;983;1243;23;END
TIME;0;1191;2227;3268;4304;5505;6540;7582;8620;9657;10783;11820;12879;13942;14272;14982
MEMORY;START;475;727;984;983;1623;1239;983;1431;1239;1239;1239;1239;1239;23;END
TIME;0;1088;2125;3166;4203;5338;6373;7410;8455;9584;10638;11678;12720;13779;13861;14820
MEMORY;START;27;727;985;983;1623;1239;1239;983;1239;983;1630;983;1246;23;END
TIME;0;1086;2148;3192;4228;5325;6360;7396;8534;9633;10670;11721;12772;13810;13917;14849
MEMORY;START;20;983;985;983;1623;1239;1239;1628;1244;1239;1437;983;1239;23;END
TIME;0;1082;2122;3161;4192;5308;6347;7381;8421;9457;10551;11625;12659;13697;13767;14738
MEMORY;START;21;727;984;1239;1431;1239;1239;1631;983;1239;1631;983;983;23;END
TIME;0;1085;2158;3217;4256;5417;6452;7490;8542;9582;10619;11655;12750;13791;14057;14833
MEMORY;START;20;983;984;983;1623;1239;1244;1623;983;1239;1239;1244;1239;23;END
TIME;0;1196;2227;3267;4335;5381;6419;7464;8518;9663;10751;11788;12826;13129;13867
MEMORY;START;476;727;984;983;1623;1239;983;1243;1627;983;983;1239;23;END
TIME;1;1088;2129;3172;4207;5251;6286;7326;8440;9549;10595;11635;12702;13738;14444;14778
MEMORY;START;27;727;985;983;1431;1623;1239;1239;991;1623;983;1239;1431;23;END
TIME;0;1100;2136;3176;4209;5250;6288;7327;8537;9584;10622;11671;12727;13777;14135;14819
MEMORY;START;20;727;986;983;1431;983;983;1631;983;1239;1247;1239;983;23;END
TIME;0;1088;2129;3173;4235;5281;6321;7424;8498;9533;10567;11605;12646;13707;14522;14749
MEMORY;START;20;727;985;1239;1431;991;1247;1239;727;1431;1239;1239;1239;23;END
